Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
3/6/2024 3:23,3/7/2024 2:45,UTC-05:00,3/6/2024 3:23,3/6/2024 11:10,66,14.8,384,465,161,93,130,81,582,85,83,55,FALSE
3/5/2024 0:54,3/6/2024 3:23,UTC-05:00,3/5/2024 0:54,3/5/2024 9:25,76,15.4,412,510,209,103,100,98,546,54,80,84,FALSE
3/4/2024 0:35,3/5/2024 0:54,UTC-05:00,3/4/2024 0:35,3/4/2024 9:51,85,15.4,465,556,203,102,160,91,550,47,84,77,FALSE
3/3/2024 0:52,3/4/2024 0:35,UTC-05:00,3/3/2024 0:52,3/3/2024 9:46,86,15.8,472,534,186,112,174,62,545,127,88,66,FALSE
3/2/2024 2:19,3/3/2024 0:52,UTC-05:00,3/2/2024 2:19,3/2/2024 8:46,41,16.2,267,382,155,63,49,115,651,127,70,75,FALSE
3/1/2024 0:47,3/2/2024 2:19,UTC-05:00,3/1/2024 0:47,3/1/2024 10:35,68,14.8,431,587,206,98,127,156,633,117,73,75,FALSE
2/29/2024 1:18,3/1/2024 0:47,UTC-05:00,2/29/2024 1:18,2/29/2024 9:14,63,14.5,400,475,150,97,153,75,635,127,84,81,FALSE
2/28/2024 2:17,2/29/2024 1:18,UTC-05:00,2/28/2024 2:17,2/28/2024 9:50,59,14.8,384,453,144,91,149,69,647,123,85,74,FALSE
2/27/2024 1:31,2/28/2024 2:17,UTC-05:00,2/27/2024 1:31,2/27/2024 9:38,68,15.5,410,486,107,105,198,76,602,105,84,73,FALSE
2/25/2024 23:37,2/27/2024 1:31,UTC-05:00,2/25/2024 23:37,2/26/2024 8:20,72,15.7,416,523,255,79,82,107,581,86,79,61,FALSE
2/25/2024 1:47,2/25/2024 23:37,UTC-05:00,2/25/2024 1:47,2/25/2024 11:25,79,15.9,502,577,195,97,210,75,637,127,87,74,FALSE
2/24/2024 2:05,2/25/2024 1:47,UTC-05:00,2/24/2024 2:05,2/24/2024 9:48,50,16.3,319,457,136,108,75,138,645,106,71,86,FALSE
2/23/2024 0:24,2/24/2024 2:05,UTC-05:00,2/23/2024 0:24,2/23/2024 9:37,73,14.9,455,553,165,105,185,98,620,123,82,77,FALSE
2/22/2024 1:52,2/23/2024 0:24,UTC-05:00,2/22/2024 1:52,2/22/2024 9:57,62,15.6,398,484,155,92,151,86,646,127,84,87,FALSE
2/21/2024 1:35,2/22/2024 1:52,UTC-05:00,2/21/2024 1:35,2/21/2024 9:53,66,15,411,497,180,97,134,86,622,127,82,78,FALSE
2/20/2024 2:33,2/21/2024 1:35,UTC-05:00,2/20/2024 2:33,2/20/2024 10:29,63,15.4,414,475,296,53,65,61,656,119,87,68,FALSE
2/19/2024 2:05,2/20/2024 2:33,UTC-05:00,2/19/2024 2:05,2/19/2024 8:42,58,14.7,336,397,147,69,120,61,576,75,85,62,FALSE
2/18/2024 0:49,2/19/2024 2:05,UTC-05:00,2/18/2024 0:49,2/18/2024 10:30,81,14.5,510,581,217,116,177,71,627,127,88,60,FALSE
2/17/2024 1:10,2/18/2024 0:49,UTC-05:00,2/17/2024 1:10,2/17/2024 6:43,40,15.7,257,317,113,95,49,60,645,116,83,65,FALSE
2/16/2024 1:09,2/17/2024 1:10,UTC-05:00,2/16/2024 1:09,2/16/2024 7:42,59,14.9,333,389,163,92,78,56,566,64,85,72,FALSE
2/15/2024 1:48,2/16/2024 1:09,UTC-05:00,2/15/2024 1:48,2/15/2024 9:48,80,15,400,478,195,64,141,78,501,98,83,58,FALSE
2/14/2024 1:43,2/15/2024 1:48,UTC-05:00,2/14/2024 1:43,2/14/2024 9:24,71,15.3,376,459,190,75,111,83,529,124,81,59,FALSE
2/13/2024 1:27,2/14/2024 1:43,UTC-05:00,2/13/2024 1:27,2/13/2024 9:32,60,15.1,376,482,151,104,121,106,625,127,80,71,FALSE
2/12/2024 4:00,2/13/2024 1:27,UTC-05:00,2/12/2024 4:00,2/12/2024 10:09,44,15.1,281,368,145,67,69,87,643,127,78,70,FALSE
2/11/2024 2:36,2/12/2024 4:00,UTC-05:00,2/11/2024 2:36,2/11/2024 11:06,67,15.9,421,509,236,92,93,88,628,104,82,76,FALSE
2/10/2024 2:58,2/11/2024 2:36,UTC-05:00,2/10/2024 2:58,2/10/2024 10:37,66,15.4,400,459,134,97,169,59,609,112,87,68,FALSE
2/9/2024 2:26,2/10/2024 2:58,UTC-05:00,2/9/2024 2:26,2/9/2024 9:42,61,15.4,347,433,196,52,99,86,573,127,80,60,FALSE
2/8/2024 0:50,2/9/2024 2:26,UTC-05:00,2/8/2024 0:50,2/8/2024 8:39,55,15.4,337,467,180,102,55,130,608,103,74,77,FALSE
